title,company,location,site,description,job_url
Customer Service Intermediate Analyst (French or German will be an asset),Citi,"Dublin, County Dublin, Ireland",linkedin,"Shape your career with Citi in Dublin. By joining Citi, you will become part of a global organization whose mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. Citi has had a presence in Ireland since 1965, it was one of the first foreign banks to open an office in the country and is the Citibank Europe Plc Headquarters. **Team/Role Overview** The Customer Service Analyst is an intermediate\-level position responsible for providing clients with resolutions and support in coordination with the Customer Service team. The overall objective of this role is to address external customer issues and provide ongoing customer service support. **Responsibilities:** * Manage a portfolio of high\-profile clients, ensuring queries are acknowledged, investigated and resolved timely and professionally and in line with departmental standards * Provide coaching and support to team and serve a point of contact for escalations * Develop and maintain client portfolio through regular calls and face to face interaction, as needed * Inform clients about problems (system failures, market issues) and provide regular resolution updates * Advise on and advocate the implementation of process improvement and reengineering to improve client experience * Maintain knowledge of new market and regulatory requirements affecting client portfolio/base * Escalate customer feedback, processing delays and errors appropriately * Conduct necessary analyses to resolve problems, liaising with internal teams on escalation, as necessary * Complete tasks such as reviews, audit preparation, capacity planning, reporting and maintain control environment **Qualifications:** * Relevant experience (customer service/business/financial environment) preferred * Additional European language (French/German) will be an asset * Demonstrated project management and organizational skills to prioritize multiple tasks * Proven self\-reliance and accountability and ability to manage risk * Consistently demonstrate clear and concise written and verbal communication with ability to influence stakeholders * Proven investigative and analytical skills **What We Can Offer You** By joining Citi Dublin, you will not only be part of a business casual workplace with a hybrid working model (up to 2 days working at home per week), but also receive a competitive base salary (which is annually reviewed) and enjoy a whole host of additional benefits that support you (and your family) to be well, live well and save well. Discover more here. Alongside these benefits Citi is committed to ensuring our workplace is where everyone feels comfortable coming to work as their whole self every day. We want the best talent around the world to be energized to join us, motivated to stay, and empowered to thrive. **Sounds like Citi has everything you need? Then apply to discover the true extent of your capabilities.** Ł1 \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Job Family Group:** Customer Service \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Job Family:** Institutional Customer Service \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Time Type:** Full time \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Primary Location Full Time Salary Range:** 52 580,00 € \- 73 620,00 € \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Most Relevant Skills** Please see the requirements listed above. \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Other Relevant Skills** For complementary skills, please see above and/or contact the recruiter. \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- **Automated Processing and AI** We use automated processing, including artificial intelligence, for our legitimate business interests (or our reasonable and appropriate business purposes) to identify and align the candidate's skills and abilities with a specific job opening. Additionally, if you so choose, or consent, we can match your skills and abilities to other suitable roles at Citi. Importantly, all our hiring processes and decisions, including determining your suitability for a role, are conducted, checked, and decided by individuals. Our automated processing and AI do not involve relying on automatic or autonomous decision\-making. Please refer to any Jurisdictional Considerations, with specific provisions for your country (where relevant) for further details. \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- *This job opening is for an existing job vacancy.* \-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\-\- *Citi is an equal opportunity employer, and qualified candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other characteristic protected by law.* *If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review* *Accessibility at Citi.* *View Citi’s EEO Policy Statement and the Know Your Rights poster.*",https://www.linkedin.com/jobs/view/4369154983
Data Architect,Version 1,"Dublin, County Dublin, Ireland",linkedin,"**Company Description** Version 1 has celebrated over 28 years in Technology Services and continues to be trusted by global brands to deliver solutions that drive customer success. Our expertise enables our customers to navigate the rapidly changing Digital\-First world we live in. We foster strong partnerships with leading technology giants including Microsoft, AWS, Oracle, Red Hat, OutSystems, Snowflake, ensuring that our customers are provided with the highest quality solutions and services. We’re An Award\-winning Employer Reflecting How Our Employees Are At The Very Heart Of Version 1 And What We Do * UK \& Ireland's premier AWS, Microsoft \& Oracle partner * 3300\+ strong, €350/£300m revenue business * 10\+ years as a Great Place to Work in Ireland \& UK * Best Workplace for Women in the UK \& Ireland by GPTW * Best Workplace for Wellbeing in the UK by GPTW We’re a core values driven company, we hire people who share our values, and we reward those who display and foster them, it’s deeply embedded within our DNA. Invest in us and we’ll invest in you! **Job Description** As a Data Solution Architect you will be expected to take an architecture lead role on our client’s solution delivery engagements, with high levels of customer engagement. This will involve ongoing analysis of business requirements throughout the lifetime of the service. Candidates will have a strong understanding of data architecture and analytics design and project delivery life\-cycles with an emphasis of working in client facing environments. **Typically The Role Will Involve The Following** * Translating Business requirements to technical solutions and the production of specifications, * Designing and implementing business intelligence \& modern data analytics platform technical solutions, * Data architecture design and implementation, * Data modelling, * ETL, data integration and data migration design and implementation, * Master data management system and process design and implementation, * Data quality system and process design and implementation, * Major focus on data science, data visualisation, AI, ML, * Documentation of solution (e.g. data modelling, configuration, and setup etc.) including HLD and LLD, * Working within a project management/agile delivery methodology, * Managing Team Members on a day to day basis, * Managing technical delivery of solution. **Qualifications** Hands on experience with data solution architecture, design, rollout and technical leadership, * Hands on experience with business intelligence and analytics tools, data modelling, data staging, and data extraction processes, including data warehouse and cloud infrastructure, * Strong team leadership and/or customer management experience; experience of leading a team of technical resources and developing junior and senior people on the team. * Cloud experience in AWS or Azure with Databricks experience is desirable. * Experience and demonstrated competencies with multi\-dimensional design, star schemas, facts and dimensions. * Expertise in logical and physical data warehouse database design, DWH development * Experience and demonstrated competencies in ETL development techniques * Experience in data warehouse performance optimization, * Good knowledge and concepts around data science, data visualisation etc. side. * Experience on projects across a variety of industry sectors an advantage, * Comprehensive understanding of data management best practices including demonstrated experience with data profiling, sourcing, and cleansing routines utilizing typical data quality functions involving standardization, transformation, rationalization, linking and matching, * Good knowledge of Databricks, Azure / AWS / Snowflake, Oracle cloud, R, Python. **Additional Information** **Why Version 1?** At Version 1, we believe in providing our employees with a comprehensive benefits package that prioritises their wellbeing, professional growth, and financial stability. * Share in our success with our Quarterly Performance\-Related Profit Share Scheme, where employees collectively benefit from a share of our company's profits. * Strong Career Progression \& mentorship coaching through our Strength in Balance \& Leadership schemes with a dedicated quarterly Pathways Career Development programme. * Flexible/remote working, Version 1 is tremendously understanding of life events and people’s individual circumstances and offer flexibility to help achieve a healthy work life balance. * Financial Wellbeing initiatives including; Pension, Private Healthcare Cover, Life Assurance, Financial advice and an Employee Discount scheme. * Employee Wellbeing schemes including Gym Discounts, Bike to Work, Fitness classes, Mindfulness Workshops, Employee Assistance Programme and much more. Generous holiday allowance, enhanced maternity/paternity leave, marriage/civil partnership leave and special leave policies. * Educational assistance, incentivised certifications, and accreditations, including AWS, Microsoft, Oracle, and Red Hat. * Reward schemes including Version 1’s Annual Excellence Awards \& ‘Call\-Out’ platform. * Environment, Social and Community First initiatives allow you to get involved in local fundraising and development opportunities as part of fostering our diversity, inclusion and belonging schemes. And many more exciting benefits… drop us a note to find out more.",https://www.linkedin.com/jobs/view/4286730105
Data Privacy Lawyer,Elevate,"Dublin, County Dublin, Ireland",linkedin,"Our customer, a leading global technology organisation is seeking Data Privacy Lawyers to join its legal team on an initial 3\-month contract. Based in Dublin, these roles will support on a range of data protection and privacy matters, working closely with senior counsel and cross\-functional teams in a fast\-paced environment. **Key Responsibilities** * Provide day\-to\-day support on data privacy and data protection matters * Review and assist with drafting data processing agreements, DPAs, and privacy\-related contractual clauses * Support responses to internal queries relating to GDPR and other applicable privacy laws * Assist with data mapping, records of processing activities (RoPA), and compliance documentation * Help maintain and update privacy policies, notices, and internal procedures * Work with cross\-functional teams (legal, compliance, product, and operations) on privacy\-related projects * Support incident response processes and general privacy risk assessments **Key Requirements** * Qualified lawyer (1–4 PQE) or paralegal with relevant data privacy experience * Working knowledge of GDPR and core European data protection principles * Experience reviewing contracts with data protection provisions * Strong attention to detail and ability to manage high\-volume work * Good communication and stakeholder management skills * Available to start at short notice **About Elevate** Elevate is a global provider of consulting, technology, and services for law departments and law firms. Headquartered in Los Angeles, our team of 1,600\+ legal professionals, lawyers, consultants, project managers, and engineers operates across the United States, Europe, the UK, Asia, Hong Kong, and Australia. Legal Talent is our flexible resourcing division, redefining careers in the legal industry. We connect exceptional legal professionals with the evolving needs of our customers through a curated, world\-class global talent community and advanced, technology\-enabled search capabilities. We are proud to have been ranked Band 1 in Chambers’ Global Flexible Legal Resourcing category. **Our Vision:** A world where legal and business teams achieve extraordinary outcomes together. At Legal Talent, **equity and inclusion** are fundamental to our success. As *The Law Company,* transforming the legal business landscape, we believe a diverse and inclusive culture is essential for attracting, retaining, and celebrating the industry’s top talent. We empower our people to bring their authentic selves to work because diversity of experience and perspective drives innovation and simply makes good business sense. As strong advocates for diversity, equity, and inclusion, Legal Talent is committed to hiring talented professionals from all backgrounds. We invite you to join the Legal Talent team and help us reshape the legal industry, making a real impact on the legal universe.",https://www.linkedin.com/jobs/view/4405695423
Document Analyst,Mercor,"Dublin, County Dublin, Ireland",linkedin,"**About The Job** **Mercor** connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include **Benchmark** , **General Catalyst** , **Peter Thiel** , **Adam D'Angelo** , **Larry Summers** , and **Jack Dorsey** . **Position:** Job Seeker \- New Grad **Type:** **Contract** **Compensation:** **$80–$160/hour** **Location:** **Remote** **Role Responsibilities** * Review and assess domain\-specific documents for quality and accuracy. * Provide structured feedback to ensure relevance and impact. * Utilize Excel, PowerPoint, and Word for document analysis. * Work independently and asynchronously to meet project deadlines. * Contribute to high\-impact evaluation projects with strong analytical skills. **Qualifications** **Must\-Have** * Bachelor's degree (minimum) * 2\+ years of professional experience in a relevant domain * Strong proficiency in Excel, PowerPoint, and Word * Strong document analysis and review skills * Attention to detail and ability to follow structured guidelines **Compensation \& Legal** * Hourly contractor **Application Process (Takes 20–30 mins to complete)** * Upload resume * AI interview based on your resume * Submit form **Resources \& Support** * For details about the interview process and platform information, please check: https://talent.docs.mercor.com/welcome * For any help or support, reach out to: support@mercor.com *PS: Our team reviews applications daily. Please complete your AI interview and application steps to be considered for this opportunity.*",https://www.linkedin.com/jobs/view/4408633120
Engineering Graduate 2026,Exyte,"Leixlip, County Kildare, Ireland",linkedin,"**Description** **Discover your exciting role** We are seeking highly motivated **Engineering Graduates** to join our talented team at Exyte. As an Engineering Graduate, you will have the opportunity to work alongside experienced engineers and gain hands\-on experience in delivering cutting\-edge projects. You will play an integral role in various stages of project design, development, and implementation, while contributing to the creation of state\-of\-the\-art facilities. For our 2026 Graduate Programme, we are recruiting for the following **engineering** disciplines: * Mechanical * Electrical * BIM/Design * Civil/Structural * Architectural * Process * Quality * Commissioning **Explore Your Tasks And Responsibilities** * Assist in the design, planning, and execution of engineering projects within our sectors of expertise. * Support senior engineers in preparing technical documentation, drawings, and specifications. * Participate in site visits and contribute to project assessments and feasibility studies. * Collaborate with multidisciplinary teams to ensure seamless integration of engineering systems. * Develop and maintain project schedules, budgets, and risk management plans. * Learn and apply industry standards, safety regulations, and best practices to all tasks. * Continuously expand your knowledge of engineering processes and systems, with mentorship and guidance from experienced engineers. **Show Your Expertise** **Who You Are:** * A final year student or recent graduate with a relevant engineering degree. * Passionate about engineering and technology with a strong desire to build a successful career in the industry. * Excellent problem\-solving skills, with a keen eye for detail and the ability to think critically. * Strong communication skills, both written and verbal, with the ability to collaborate effectively in a team environment. * Able to prioritize tasks, work independently, and meet deadlines. * Enthusiastic, adaptable, and eager to learn in a fast\-paced, innovative environment. **What We Offer** * Competitive salary and benefits package, including healthcare \& pension. * Travel \& relocation opportunities across mainland Europe. * A dynamic and supportive work environment with opportunities for professional growth. * Exposure to innovative projects and advanced engineering technologies. * Mentorship and training programs designed to help you develop your technical and leadership skills. * A chance to work with some of the brightest minds in the industry.",https://www.linkedin.com/jobs/view/4360547984
Entry-level Game Presenter in Sofia (incl. housing & training),Savior Artigos Texteis Lda,"Dublin, County Dublin, Ireland",linkedin,"Ready to move abroad and start a new international career in **Sofia, Bulgaria** ? We are hiring **Game Presenters** on behalf of a **renowned international company in the iGaming and live entertainment industry** , operating modern live studios and working with online players across global markets. This is an exciting **on\-camera role** where you will host live card games, interact with online players, and create a professional entertainment experience from a high\-tech studio in Sofia. **No previous experience is required** . You will receive full professional training and learn everything step by step — from game procedures to on\-camera presentation. **Job Description** As a Game Presenter, you will be the **face of the game** . You will present live card games in front of the camera, guide online players through the game, follow company standards, and bring positive energy to every session. You will work in a **modern, professional studio environment** with a young international team and continue improving your **presentation, confidence and communication skills** . What we ask of you **EU citizenship** . **C1 level English** . Availability to relocate and work **on\-site in Sofia, Bulgaria** . Open to full\-time shift work or flexible part\-time options of **20 or 30 hours per week** . Comfortable being in front of the camera. Positive attitude, reliability and willingness to learn. Availability for a **video interview with a clear camera image** . Please note: **visa sponsorship is not available at the moment** . **Benefits** **Accommodation included** . **Full professional training** . Competitive salary and performance bonus scheme. Bonus after 3 months for full\-time employees. Permanent contract. Only one interview required. Additional health insurance from day one. Public transportation card. Food vouchers. Multisport card fully covered by the employer. Modern high\-tech studio in Sofia. Professional makeup and hairstyle every working day. Young international work environment. Career growth opportunities within an established global industry. Why Sofia? Sofia is one of the most dynamic capitals in the region, offering an international environment, lively social life, modern cafes, nightlife, shopping, gyms, parks and easy access to nature, including Vitosha Mountain just outside the city. Sofia offers the chance to gain **international work experience** , meet people from different countries, and start a career in a fast\-moving industry while having **housing and training included** . **Apply today and turn your confidence into a career in Sofia.** *Send your CV to Alexander Glogar: alexander.glogar@cbtalents.org* *WhatsApp: \+43 676 51 66 005*",https://www.linkedin.com/jobs/view/4408369644
"Entry-level Game Presenter in Sofia (no experience, incl. training&housing)",Savior Artigos Texteis Lda,"Dublin, County Dublin, Ireland",linkedin,"Ready to move abroad and start a new international career in **Sofia, Bulgaria** ? We are hiring **Game Presenters** on behalf of a **renowned international company in the iGaming and live entertainment industry** , operating modern live studios and working with online players across global markets. This is an exciting **on\-camera role** where you will host live card games, interact with online players, and create a professional entertainment experience from a high\-tech studio in Sofia. **No previous experience is required** . You will receive full professional training and learn everything step by step — from game procedures to on\-camera presentation. **Job Description** As a Game Presenter, you will be the **face of the game** . You will present live card games in front of the camera, guide online players through the game, follow company standards, and bring positive energy to every session. You will work in a **modern, professional studio environment** with a young international team and continue improving your **presentation, confidence and communication skills** . What we ask of you **EU citizenship** . **C1 level English** . Availability to relocate and work **on\-site in Sofia, Bulgaria** . Open to full\-time shift work or flexible part\-time options of **20 or 30 hours per week** . Comfortable being in front of the camera. Positive attitude, reliability and willingness to learn. Availability for a **video interview with a clear camera image** . Please note: **visa sponsorship is not available at the moment** . **Benefits** **Accommodation included** . **Full professional training** . Competitive salary and performance bonus scheme. Bonus after 3 months for full\-time employees. Permanent contract. Only one interview required. Additional health insurance from day one. Public transportation card. Food vouchers. Multisport card fully covered by the employer. Modern high\-tech studio in Sofia. Professional makeup and hairstyle every working day. Young international work environment. Career growth opportunities within an established global industry. Why Sofia? Sofia is one of the most dynamic capitals in the region, offering an international environment, lively social life, modern cafes, nightlife, shopping, gyms, parks and easy access to nature, including Vitosha Mountain just outside the city. Sofia offers the chance to gain **international work experience** , meet people from different countries, and start a career in a fast\-moving industry while having **housing and training included** . **Apply today and turn your confidence into a career in Sofia.** *Send your CV to Alexander Glogar: alexander.glogar@cbtalents.org* *WhatsApp: \+43 676 51 66 005*",https://www.linkedin.com/jobs/view/4408382382
"Executive Recruiter (Bangkok Based, Relocation Provided)",Agoda,"Dublin, County Dublin, Ireland",linkedin,"**About Agoda** At Agoda, we bridge the world through travel. Our story began in 2005, when two lifelong friends and entrepreneurs, driven by their passion for travel, launched Agoda to make it easier for everyone to explore the world. Today, we are part of Booking Holdings \[NASDAQ: BKNG], with a diverse team of over 7,000 people from 90 countries, working together in offices around the globe. Every day, we connect people to destinations and experiences, with our great deals across our millions of hotels and holiday properties, flights, and experiences worldwide. No two days are the same at Agoda. Data and technology are at the heart of our culture, fueling our curiosity and innovation. If you’re ready to begin your best journey and help build travel for the world, join us. **Get to Know our Team:** The People Team is a purveyor of opportunity, searching the globe for the most talented individuals and offering them an open, collaborative workplace. By prioritizing skill and potential, we have cultivated a powerful assembly of professionals through our drive for equal opportunity and diversity. We make the move to Agoda a breeze with assisted onboarding programs, and we continue to support and enrich our thousands of Agoda employees through individual growth with outstanding learning programs and various means of assistance. Our development of incredible benefits has ensured everyone can stay strong, healthy, and happy during their time at Agoda. Leading ambitious changes and making a positive impact in the lives of our employees, the People Team is a crucial and rewarding part of the Agoda family. **The Opportunity** We are seeking a **Executive Recruiter** to play a critical role in shaping the company’s leadership future. In this role, you will partner closely with senior executives and business leaders to attract, assess, and close exceptional executive\-level talent that drives long\-term growth and organizational success across the organization. This is a highly strategic position where you will operate as a trusted advisor to leadership, owning complex and confidential searches for senior and executive roles. Beyond execution, you will influence hiring strategy, provide deep market and talent intelligence, and help strengthen executive pipelines and succession planning. If you thrive in ambiguity, enjoy operating at the intersection of talent and business strategy, and bring strong executive presence, this role offers the opportunity to make a lasting impact. This role is based in Bangkok, Relocation Support will be provided. **In This Role, You’ll Get To** **Conduct Executive Search \& Assessment** * Partner with senior leadership to define executive hiring needs aligned to business priorities, growth plans, and organizational design. * Lead end\-to\-end executive search processes, including direct sourcing, market mapping, assessment, and offer management for senior and complex roles. * Build and maintain long\-term executive talent pipelines to support future leadership and succession needs. * Conduct rigorous, capability\- and values\-based executive assessments to ensure strong leadership effectiveness and cultural alignment. * Navigate highly confidential searches, evolving requirements, and complex offer scenarios with discretion and sound judgment. **Analyze Market \& Talent Intelligence** * Provide real\-time insights on executive talent markets, competitor intelligence, and senior talent availability. * Advise leaders on role scope, leveling, and compensation considerations using data and market benchmarks. * Partner with stakeholders to anticipate future leadership needs and proactively shape executive talent strategies. **Build Partnership \& Influence** * Act as a trusted advisor and coach to senior leaders on executive interviewing, assessment, and decision\-making. * Influence hiring strategy, timelines, and trade\-offs with credibility, data, and a strong understanding of business context. * Operate confidently in ambiguous or newly created roles, helping leaders bring clarity and alignment to executive hiring decisions. * Lead or contribute to recruitment initiatives and projects that elevate executive hiring standards across the organization. **What you’ll Need to Succeed:** * 8\+ years of recruiting experience in a fast\-growing tech company or top\-tier agency * Proven experience hiring senior leaders and executives in complex, fast\-growing, or scaling environments. * Excellent communication and interpersonal skills, with proven ability to take initiative and build strong, productive relationships. * Background in executive search firms and/or in\-house executive talent acquisition. * Strong track record of closing senior\-level candidates and navigating complex, high\-stakes offer negotiations. * Demonstrated ability to work autonomously with high levels of judgment, discretion, and accountability. **It's Great if you have:** * Knowledge of recruiting and/or sourcing across regional or global scale * Experience hiring across departments for Executive roles **\#HR\# \#sanfrancisco \#sanjose \#losangeles \#sandiego \#denver \#miami \#orlando \#atlanta \#chicago \#boston \#detroit \#newyork \#portland \#dallas \#houston \#seattle \#sydney \#melbourne \#shanghai \#beijing \#hongkong \#budapest \#dublin \#kualalumpur \#malta \#amsterdam \#oslo \#manila \#warsaw \#moscow \#saintpetersburg \#singapore \#seoul \#taipei \#bangkok \#Phuket \#istanbul \#london \#manchester \#edinburgh \#hcmc \#hanoi \#newdelhi \#bangalore \#yokohama** Please review our Hiring Process Guidelines before your interview — click here to learn how interviewing at Agoda works. **Discover More About Working At Agoda** * Agoda Careers https://careersatagoda.com * Facebook https://www.facebook.com/agodacareers/ * LinkedIn https://www.linkedin.com/company/agoda * YouTube https://www.youtube.com/agodalife **Equal Opportunity Employer** At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics. We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy. **Disclaimer** We do not accept any terms or conditions, nor do we recognize any agency’s representation of a candidate, from unsolicited third\-party or agency submissions. If we receive unsolicited or speculative CVs, we reserve the right to contact and hire the candidate directly without any obligation to pay a recruitment fee.",https://www.linkedin.com/jobs/view/4361550464
Field Sales Analyst- FMCG,Amicus Search & Recruitment,"Dublin, County Dublin, Ireland",linkedin,"My client is a diverse business specialising in Field Management, Brand Management and Distribution and Contact Centre services across multiple sectors including FMCG, Drinks, Utilities and Telco. Due to their continues success and growth, they are currently looking for a dynamic and inspiring **Field Sales Analyst** to join their award winning team. **Company culture; role and location** My Client has approx. 40 people in Head office, but the majority of their employees are field based. In this role, you will report into one of the Directors who has been with the business for over 15 years – Roisin is fantastic ! – and she said *“ Denis we have very few people who leave us from a Head office role\-and sometimes if they do , it is to move to client side\- the culture is a really good one\- everyone is approachable; can sit down have a coffee with – and we all row in together; help each other out which is great\- a real team culture\- this is driven by Andrew our MD\- a really good guy.”* Also another sell is that my client have an established client list\- some leading companies within the various sectors\- and have a reputable name for ‘ partnership’ with their client base. **NB** It is important to note that my client’s offices are based in South Dublin\- Sandyford area\- and you must be on site for 3\-4 days a week for the first 6 months in the role. To be considered for this role, you must have 4\- 6 years domestic FMCG experience as a National Account Manager and it would be highly advantageous if you have either a Field Sales background or managed Field Sales teams in the past. ( please do not apply if you are not a NAM / Account Manager with FMCG experience – this is a must) **Purpose of the role** As a **Senior Account Manager** , you will play a key leadership role in managing the successful delivery of FMCG field management contracts. You will be responsible for driving organic growth within existing accounts, overseeing client relationships, and identifying new business opportunities to ensure revenue growth. Your primary focus will be ensuring the profitability and sustainability of FMCG contracts while delivering excellence in client service and field sales execution. **Key Requirements:** * At least 5\-7 years of experience in account management, ideally within FMCG or field sales industries. Previous experience in managing client contracts, P\&L responsibility, and business development is essential. * Strong financial understanding, with a proven ability to manage budgets, pricing models, and profitability. * Experience in leading teams and driving results through effective management, motivation, and development of staff. * Exceptional client management skills with the ability to understand client needs and build long\-term partnerships. * A track record of driving organic growth within existing accounts and identifying new business opportunities. * Excellent written and verbal communication skills, with the ability to present ideas clearly to both clients and internal stakeholders. * Proven ability to meet targets, manage multiple projects simultaneously, and work in a fast\-paced environment. For more information please contact Denis Mac Sweeney on 087 977 2742 or email Denis at denis@amicus.ie . All applications will be treated confidentially",https://www.linkedin.com/jobs/view/4409891025
Full Stack Engineer,Dabster,"Dublin, County Dublin, Ireland",linkedin,"**🚀 Hiring: MERN Stack Developer** **📍 Location: Dublin (Hybrid)** **📄 Job Type: Contract** **🌟 About the Role** Are you passionate about technology and eager to make a real impact? Join our cutting\-edge **AI Innovation Team** , where you’ll play a key role in designing, developing, and maintaining next\-generation web applications. Work alongside a diverse group of talented professionals in a dynamic, start\-up\-like environment—while being backed by a global industry leader. This is your chance to help shape the future of digital solutions. **🎯 Your Mission** * Contribute early to a rapidly evolving AI\-driven ecosystem with strong executive support * Experience a start\-up culture within a globally recognized organization * Participate in exciting initiatives like Hackathons and cross\-team innovation programs * Collaborate within a strategic tech hub delivering impactful digital solutions * Work in a fast\-paced environment with rapid iteration and proof\-of\-concept mindset * Engage with global AI teams and bring innovative ideas to life **💻 Required Skills \& Experience** * Strong proficiency in **React.js** or modern frontend frameworks * Hands\-on experience with **Node.js / NestJS** or similar backend technologies * Basic experience or understanding of **Python** * Solid understanding of **RESTful APIs** * Experience with **GitHub Copilot** * Knowledge of **LLMs (Large Language Models)** * Understanding of **Prompt Engineering** techniques * Familiarity with **RAG (Retrieval\-Augmented Generation)** * Strong problem\-solving mindset and communication skills **⭐ Good to Have** * Experience with **Kubernetes** and **MongoDB** * Exposure to deployments and infrastructure management **🤝 What You’ll Be Doing** * Collaborate with AI teams across Dublin and Cluj * Operationalize AI prototypes into scalable solutions * Ensure smooth handover to business technology teams * Work in an Agile, collaborative development environment * Drive best practices in development, including Prompt Engineering frameworks * Continuously learn and improve while contributing to innovation **🌈 Why Join Us?** * Work on cutting\-edge AI and modern web technologies * Be part of a high\-impact innovation team * Thrive in a collaborative, fast\-moving environment * Gain exposure to global teams and advanced tech ecosystems 💡 **Interested candidates can apply via Easy Apply or share their CVs directly to james.a@dabster.net .**",https://www.linkedin.com/jobs/view/4408642780
Full Stack Engineer (AI ),Xoriant,"Dublin, County Dublin, Ireland",linkedin,"**Full Stack Engineer (AI )** **Dublin, IRE** **Hybrid (2\-3 days a week)** **Long Term Contract** Are you passionate about technology and eager to make a real impact? Join our cutting\-edge AI Innovation Team, where you will play a vital role in designing, developing, and maintaining state\-of\-the\-art web applications. Work with a diverse group of talented professionals in a dynamic, start\-up\-like environment, and help shape the future of digital solutions! **The Role \& your Mission** * Contribute early to a rapidly evolving field with strong executive backing. * Experience the excitement of a start\-up culture while being backed by a global pioneer in the industry. * Engage in thrilling initiatives like Hackathons and link with the broader Tech ecosystem. * Be part of our strategic tech hub that delivers innovative digital solutions for clients and colleagues alike. * Embrace a fast\-paced, experimental approach with a focus on rapid iteration and a willingness to pivot quickly—adopt a proof\-of\-concept mindset to drive innovation and efficiency. **Your Experience \& Values** * Proficiency in a modern frontend framework, ideally **React** * Hands\-on experience with NestJS / **NodeJS** or a similar technology stack * Experience with or knowledge of Python * Strong comprehension of **restful APIs** * A creative, problem\-solving mindset that drives your work * Excellent communication skills in both English * Hands on experience of **GitHub Copilot** * Knowledge on **LLM's** * Knowledge of prompt engineering techniques * Knowledge on **RAG** **What makes you stand out:** * Practical experience with Kubernetes and MongoDB * Deployments/ infrastructure **We will count on you to:** * Engage effectively with our counterparts in the Dublin and Cluj AI teams. * Operationalize prototypes developed by the Dublin or local AI teams. * Ensure seamless handover of operationalized prototypes to business technology teams. * Thrive as a collaborate developer in an Agile environment. * Embrace a lifelong learning mindset, continuously seeking opportunities for improvement. * Establish and maintain best practice development frameworks and standards, such as Prompt Engineering. * Develop practices and guidelines to improve consistency and reuse of solutions.",https://www.linkedin.com/jobs/view/4386747318
